Questions_en,Questions_fr,Tasks
"What is the time","Il est quelle heure","Get time"
"What is my next meeting for today","Quelle est ma prochaine reunion pour aujourd'hui","Get next event"
"What are my meetings for tommorrow","Quelles sont mes reunions pour demain","Tommorow meeting"
"List all my NLP events","Lister tous mes evenements NLP","Event on NLP"
"List all lectures by Bruce","Lister toutes les cours de Bruce","Lecture by Bruce"
"What are my next standups","Quels sont mes prochains standups","next stand ups"
"What is my next standup","Quel est mon prochain stand-up","next stand up"
"List all standups for this week","Lister tous les standups de cette semaine","stand-up this week"
"Do I have a lecture on dashbords","Dois-je avoir une conference sur les tableaux de bord","lecture on Dashboard"
"What seminars do I need to attend this week","Quels seminaires dois-je assister cette semaine","seminars this week"
"What seminars do I have next week","Quels seminaires ai-je la semaine prochaine ?","seminars next week"
"What seminars did I attend last week","quels seminaires ai-je assiste la semaine derniere","seminars last week"
"What lectures do I have this week","Quelles cours ai-je cette semaine","lectures this week"
"Which lectures did I have last week","Quelles cours ai-je eues la semaine derniere","lectures last week"
"What are my lectures for next week","Quels sont mes cours pour la semaine prochaine","lectures next week"
"What talks do I have this week","Quelles discussions ai-je cette semaine","Talks this week"
"Which talks did I have last week","Quelles discussions ai-je eues la semaine derniere","Talks last week"
"What are my talks for next week","Quelles sont mes discussions pour la semaine prochaine","Talks next week"
"What seminars do I need to attend this month","Quels seminaires dois-je assister ce mois-ci ?","seminars this month"
"What seminars do I have next month","Quels seminaires ai-je le mois prochain","seminars next month"
"What seminars did I attend last month","quels seminaires ai-je assiste le mois dernier ?","seminars last month"
"What lectures do I have this month","Quelles conferences ai-je ce mois-ci","lectures this month"
"Which lectures did I have last month","Quelles conferences ai-je eues le mois dernier","lectures last month"
"What are my lectures for next month","Quelles sont mes conferences pour le mois prochain","lectures next month"
"What talks do I have this month","Quelles discussions ai-je ce mois-ci","Talks this month"
"Which talks did I have last month","Quelles discussions ai-je eues le mois dernier","Talks last month"
"What are my talks for next month","Quelles sont mes discussions pour le mois prochain","Talks next month"



 
